cryo_sleep_flag,passenger_age,room_service_spend,food_court_spend,shopping_mall_spend,spa_amenities_spend,vr_deck_spend,cabin_deck_tier,transported_or_survived
1,9.363,0.0,1532.726,775.537,0.0,618.312,3,1
1,2.293,493.455,0.0,0.0,1820.025,0.0,3,0
1,35.112,0.0,1101.639,0.0,0.0,0.0,7,0
1,12.553,792.745,169.323,906.86,0.0,0.0,7,1
0,0.0,220.862,214.688,532.177,0.0,0.0,7,0
1,33.44,477.024,941.622,216.404,292.743,2108.381,4,1
1,62.902,0.0,0.0,435.069,11.779,1860.459,7,1
0,27.915,0.0,2241.604,153.31,0.0,774.285,5,0
1,39.739,0.0,257.844,463.767,0.0,65.432,2,1
0,29.146,776.857,1192.033,0.0,200.494,93.037,7,0
1,26.616,1310.295,2196.721,320.531,0.0,1095.969,5,1
0,40.867,0.0,1687.985,0.0,1065.453,2145.718,6,0
1,23.936,919.951,0.0,0.0,1321.349,0.0,5,0
1,31.743,0.0,983.875,0.0,223.775,0.0,4,0
0,32.504,0.0,1470.863,0.0,563.596,1925.023,4,1
0,18.647,0.0,1520.236,0.0,0.0,0.0,2,0
0,41.889,0.0,0.0,0.0,0.0,0.0,2,0
0,25.551,0.0,0.0,0.0,1415.304,40.799,2,0
0,17.42,488.449,1643.47,477.272,0.0,0.0,4,0
0,35.511,80.856,0.0,123.792,0.0,1467.757,4,1
0,15.421,466.614,90.365,0.0,2815.458,1199.751,5,0
0,28.395,668.807,2341.051,0.0,2310.985,0.0,4,0
1,27.872,392.651,392.641,358.497,824.332,1643.595,6,1
1,43.203,647.546,0.0,0.0,1562.802,1821.757,3,1
0,34.646,174.804,0.0,0.0,0.0,181.171,3,0
1,27.65,0.0,849.263,128.228,0.0,0.0,2,0
1,39.449,907.579,0.0,362.415,0.0,2672.582,4,1
1,47.463,0.0,153.197,0.0,50.422,1057.22,6,0
1,35.809,0.0,849.877,478.072,0.0,569.141,8,0
0,28.145,104.353,2008.98,0.0,0.0,1731.723,3,1
1,9.634,0.0,1251.058,159.96,734.627,617.027,5,0
0,13.088,0.0,0.0,150.165,908.02,0.0,8,0
1,23.727,443.635,1864.103,0.0,2072.089,384.168,1,0
1,19.467,446.422,90.582,0.0,0.0,1390.587,7,1
1,25.382,0.0,0.0,10.016,0.0,0.0,5,0
0,28.793,0.0,243.55,1080.185,0.0,0.0,1,1
1,35.416,918.316,2175.803,0.0,0.0,1752.21,6,1
0,27.013,542.66,648.288,1117.695,1301.223,0.0,5,1
1,34.811,1568.792,465.026,24.556,0.0,1923.414,3,1
0,28.903,987.083,2414.654,189.808,2667.789,1785.481,4,1
1,0.343,963.79,0.0,0.0,27.746,231.194,1,1
0,14.849,0.0,0.0,0.0,471.692,0.0,4,0
0,25.983,716.509,0.0,0.0,0.0,0.0,6,0
1,11.064,185.481,897.178,0.0,625.942,3097.845,7,1
0,36.399,0.0,649.792,53.006,0.0,2268.146,7,1
1,49.431,329.21,2301.284,0.0,1073.068,431.661,4,0
1,45.063,834.387,742.17,1206.437,1106.871,0.0,3,1
1,25.012,545.541,0.0,0.0,1805.221,422.893,6,0
1,48.87,0.0,452.154,227.507,0.0,556.018,8,0
1,30.081,702.598,591.249,308.794,486.618,0.0,7,1
1,23.281,0.0,0.0,0.0,930.198,384.043,2,1
1,19.412,360.844,3702.398,554.623,796.51,1688.525,2,1
1,23.765,22.822,1073.845,0.0,0.0,0.0,1,1
1,22.566,77.737,702.01,0.0,0.0,1167.913,3,1
1,30.386,718.058,1188.197,539.516,691.656,1743.538,4,1
1,30.248,0.0,1301.293,0.0,142.25,0.0,5,0
0,28.043,1484.377,281.336,0.0,0.0,2078.885,8,1
0,34.117,0.0,0.0,555.225,1150.34,0.0,5,0
1,44.669,0.0,1169.341,0.0,260.589,763.137,6,0
1,41.294,460.638,912.853,683.952,0.0,0.0,1,1
1,7.211,599.804,0.0,847.693,0.0,0.0,1,1
1,0.0,154.691,2152.843,0.0,0.0,0.0,1,1
1,41.08,182.696,802.022,614.227,2942.314,1033.504,3,0
1,8.864,486.858,1325.783,0.0,1105.054,1191.246,5,0
1,24.853,69.805,2120.305,1420.545,517.474,232.357,6,1
1,11.618,1125.568,476.267,0.0,110.173,0.0,8,0
0,2.772,765.577,830.342,744.609,37.868,723.329,3,1
1,35.58,787.336,1422.033,642.522,1593.916,743.115,6,0
0,38.628,0.0,0.0,347.009,0.0,72.449,3,1
1,19.929,168.398,514.862,0.0,944.612,2260.593,8,1
1,0.0,24.697,600.658,85.217,0.0,0.0,8,0
0,20.353,0.0,0.0,0.0,2444.172,0.0,4,0
1,33.485,454.107,3231.164,295.675,1126.517,0.0,3,0
0,7.295,0.0,0.0,365.785,1680.112,1045.946,3,1
1,30.567,646.012,0.0,244.76,0.0,0.0,8,0
1,27.786,0.0,2027.072,0.0,1473.95,0.0,4,0
0,36.11,1337.376,1305.92,0.0,0.0,1298.572,2,1
1,29.674,0.0,0.0,0.0,431.038,785.675,4,1
0,14.377,362.547,1178.747,333.329,2108.552,695.914,1,1
1,44.752,734.709,2211.421,332.03,0.0,1120.5,7,0
0,25.781,0.0,413.684,74.675,533.573,0.0,2,0
0,27.618,774.105,3568.587,525.738,791.806,0.0,7,0
1,14.934,0.0,0.0,0.0,882.005,1150.268,8,0
1,21.794,1163.877,1282.588,511.732,0.0,0.0,5,1
0,15.613,229.197,1849.834,435.856,2604.891,0.0,8,0
1,25.579,0.0,1519.613,381.431,0.0,0.0,7,0
1,51.964,25.532,204.773,68.057,1914.774,1277.417,6,0
1,8.793,745.798,101.47,1195.217,1646.572,568.338,3,1
0,5.41,0.0,982.974,446.19,2400.978,1200.156,2,1
0,48.596,0.0,1428.905,0.0,0.0,0.0,5,0
0,25.069,76.001,1172.968,309.051,0.0,631.272,4,1
0,18.633,0.0,1698.069,591.391,1951.137,986.558,4,0
0,42.559,1403.354,0.0,0.0,0.0,0.0,1,1
0,19.521,0.0,176.675,779.992,0.0,1205.16,7,1
0,53.564,760.551,0.0,383.939,0.0,182.905,1,1
0,37.491,356.156,0.0,0.0,521.193,3524.904,8,1
0,21.169,0.0,1668.265,337.816,2061.448,0.0,2,0
1,58.202,216.129,579.581,0.0,106.207,1737.57,8,1
0,19.52,729.602,3578.231,470.821,0.0,0.0,7,0
1,38.389,97.63,682.088,698.76,652.529,0.0,6,0
1,32.19,995.523,521.63,279.291,826.556,0.0,3,1
1,46.224,883.985,577.42,1102.541,795.364,591.353,4,1
0,49.861,817.295,0.0,69.924,114.215,1389.34,8,1
0,28.448,0.0,380.596,519.898,0.0,2108.063,2,1
0,17.452,0.0,1803.346,620.768,0.0,1792.988,7,1
0,34.44,0.0,586.765,115.486,1872.298,0.0,2,0
1,18.512,347.557,0.0,606.114,515.776,1486.673,6,1
0,56.187,574.761,0.0,0.0,0.0,710.849,7,0
0,29.911,0.0,0.0,0.0,1539.985,0.0,2,0
0,22.885,214.726,538.636,0.0,0.0,77.494,1,1
0,30.586,322.758,1882.304,305.189,62.117,0.0,6,0
0,9.14,39.596,0.0,352.141,461.534,338.947,4,1
1,14.397,1059.328,66.208,830.387,0.0,0.0,7,1
0,44.806,494.157,623.172,613.038,420.839,0.0,8,0
1,18.803,1071.625,0.0,10.514,103.537,803.075,1,1
0,13.343,79.626,0.0,0.0,0.0,960.167,1,1
1,35.513,829.36,0.0,412.396,509.626,103.023,6,1
0,44.6,1282.793,0.0,792.022,0.0,1736.034,8,1
0,38.065,1072.601,680.267,592.904,492.177,26.548,6,0
1,41.945,0.0,257.328,777.307,1821.549,0.0,2,1
1,17.405,55.111,0.0,51.342,0.874,993.513,8,0
1,8.095,0.0,963.555,0.0,0.0,160.953,5,0
0,49.019,538.015,2517.69,0.0,170.313,389.038,5,0
1,23.482,666.13,2417.108,138.698,0.0,0.0,5,0
0,24.488,0.0,0.0,125.989,963.96,317.543,7,0
0,46.595,264.095,1142.487,285.739,147.212,0.0,7,0
1,35.787,0.0,236.372,97.593,2190.74,0.0,2,0
1,34.382,1157.264,636.186,95.168,1589.289,0.0,3,0
0,58.31,0.0,0.0,0.0,141.611,0.0,7,0
0,18.991,256.312,591.106,697.307,1097.17,0.0,4,0
1,40.99,18.728,631.689,212.85,0.0,0.0,2,1
1,28.798,964.918,0.0,72.311,347.353,997.489,2,1
1,31.76,0.0,0.0,0.0,0.0,533.507,8,0
0,49.399,209.203,0.0,0.0,1153.102,0.0,1,0
0,35.11,151.218,731.111,902.46,1886.287,387.459,8,0
0,35.536,0.0,1168.796,480.598,1188.513,634.168,5,0
0,43.015,1342.047,1474.019,0.0,1324.13,0.0,6,0
0,22.891,0.0,0.0,597.36,1325.337,236.07,2,0
0,16.251,721.668,790.613,686.589,916.382,499.826,3,1
1,13.373,451.564,1605.003,239.651,0.0,1102.83,7,1
0,0.471,1039.988,1848.714,1064.942,2181.069,0.0,4,1
0,56.787,0.0,379.401,291.363,2294.852,43.467,3,0
0,12.555,0.0,184.882,0.0,52.732,1883.753,2,1
1,24.902,932.445,679.349,374.495,0.0,1787.494,2,1
0,24.125,496.459,0.0,307.142,983.653,1193.484,1,1
0,32.304,0.0,217.669,0.0,915.894,863.666,3,0
1,39.42,0.0,1343.504,491.193,87.859,2037.366,1,1
0,40.047,471.149,1220.337,0.0,0.0,2313.74,6,1
0,19.837,764.547,125.679,724.717,646.271,164.466,3,1
0,25.66,0.0,711.262,0.0,916.58,0.0,5,0
0,31.956,0.0,0.0,0.0,1108.403,16.193,6,0
0,24.518,560.095,1294.191,106.258,694.222,3551.53,5,1
1,50.503,0.0,356.614,412.465,11.773,0.0,3,1
1,34.874,0.0,118.858,261.797,1403.402,0.0,1,0
1,38.288,0.0,15.931,0.0,382.433,0.0,5,0
0,37.28,749.088,374.527,0.0,0.0,431.002,2,1
0,44.429,303.601,0.0,0.0,111.281,0.0,7,0
0,30.534,73.323,1239.772,44.179,0.0,185.811,4,0
1,9.844,1122.866,0.0,772.012,109.534,0.0,8,1
0,33.596,634.261,2361.557,167.613,1067.28,948.502,1,1
0,18.881,1270.595,2208.253,651.272,683.761,1583.463,6,1
1,20.599,0.0,0.0,985.025,1982.731,0.0,7,0
0,36.209,197.542,533.645,0.0,20.728,158.113,6,0
1,45.336,0.0,0.0,65.519,846.044,128.422,3,0
1,28.298,70.901,58.023,1385.868,1182.014,489.956,6,1
1,32.324,58.4,2852.913,978.832,2887.143,259.922,8,0
0,51.831,627.299,80.914,0.0,469.242,1106.523,4,1
0,31.371,249.617,882.271,386.803,0.0,1594.691,4,1
0,64.424,625.215,1099.586,170.314,1242.722,0.0,2,0
0,35.917,677.236,0.0,632.814,2362.3,0.0,6,0
0,3.349,1620.704,0.0,0.0,0.0,1246.7,1,1
0,38.547,15.057,0.0,0.0,1235.19,0.0,4,0
0,33.336,0.0,0.0,0.0,1661.601,0.0,1,0
1,46.057,379.954,0.0,0.0,1428.772,537.632,2,0
0,37.425,0.0,1103.499,626.582,448.114,821.164,3,0
1,26.062,1183.274,2915.033,0.0,0.0,0.0,4,0
0,10.86,35.908,627.385,0.0,220.592,0.0,8,0
0,25.074,0.0,0.0,0.0,814.46,0.0,8,0
0,16.093,0.0,0.0,733.986,1309.045,0.0,4,1
1,19.873,686.971,0.0,881.777,677.34,1028.171,4,1
1,36.24,117.464,0.0,0.0,0.0,0.0,6,0
1,51.379,0.0,1482.219,3.148,920.918,21.201,8,0
1,33.525,1302.479,1422.312,423.804,1256.094,0.0,8,0
0,11.258,0.0,0.0,995.71,727.571,0.0,1,1
1,34.224,243.118,1320.097,398.822,0.0,1213.687,7,1
0,44.753,643.999,2282.175,0.0,110.453,0.0,4,0
0,19.463,0.0,2733.07,0.0,1352.603,497.862,1,0
1,26.124,532.169,3888.254,0.0,0.0,0.0,6,0
1,28.206,0.0,0.0,211.003,0.0,0.0,5,0
1,17.011,754.809,3839.065,0.0,1968.891,1093.892,8,0
1,37.076,0.0,24.952,279.182,872.557,3016.635,5,1
1,26.307,670.3,0.0,0.0,977.403,0.0,1,1
1,33.873,938.791,842.487,0.0,0.0,88.837,6,0
1,15.575,779.934,0.0,0.0,1121.281,732.895,5,1
1,21.876,383.356,928.853,1044.919,612.774,0.0,2,1
0,38.113,69.654,0.0,667.833,0.0,1191.998,2,1
1,22.78,0.0,163.497,1139.09,1876.712,0.0,5,0
1,52.177,1176.173,1992.699,472.373,484.552,461.54,8,0
0,22.405,0.0,381.526,0.0,0.0,0.0,3,0
1,31.146,0.0,619.915,911.071,0.0,1580.403,1,1
0,41.056,652.49,1020.31,151.482,0.0,0.0,5,0
0,8.143,0.0,1854.794,293.671,962.67,0.0,1,0
1,3.349,0.0,0.0,146.018,598.043,1292.973,7,1
0,6.641,0.0,1151.429,0.0,96.512,0.0,7,0
0,45.676,0.0,128.233,1068.652,1716.334,372.188,6,0
0,20.274,166.235,649.965,444.962,0.0,0.0,7,0
0,63.815,378.01,1721.94,354.701,0.0,0.0,7,0
1,20.101,838.349,0.0,135.405,0.0,701.238,5,1
0,30.584,562.484,0.0,261.52,3.326,0.0,2,1
1,49.59,95.933,0.0,0.0,384.217,0.0,8,0
0,56.085,91.173,0.0,515.284,783.015,817.741,6,0
0,56.861,551.602,2046.519,0.0,0.0,0.0,7,0
0,44.917,1047.171,305.295,274.198,0.0,1163.984,3,1
0,42.337,302.104,0.0,484.481,2164.608,526.446,1,1
1,36.295,0.0,0.0,58.745,2962.804,757.467,8,0
1,38.897,0.0,0.0,377.686,467.615,1603.014,8,0
0,20.283,0.0,0.0,0.0,0.0,635.814,8,0
0,16.545,653.075,916.583,0.0,1933.0,1915.79,3,1
1,27.953,595.686,0.0,302.562,0.0,1256.825,7,1
0,25.617,595.286,1785.161,549.988,0.0,0.0,2,1
0,21.655,136.371,364.656,0.0,0.0,1657.805,7,1
0,37.749,1134.508,552.714,462.332,0.0,577.059,8,1
1,41.374,0.0,115.952,0.0,1.973,0.0,4,0
1,29.238,840.925,1377.417,62.029,0.0,592.305,4,1
1,48.685,194.817,1389.792,0.0,323.92,1467.943,1,1
0,12.016,0.0,852.065,0.0,339.895,777.797,6,0
0,25.289,605.145,1127.747,711.03,0.0,2213.512,2,1
1,17.964,486.263,195.492,188.403,0.0,1440.857,7,1
1,1.868,452.032,1100.644,0.0,56.066,849.318,1,1
1,26.842,272.831,44.547,104.767,1200.831,0.0,6,0
1,26.296,195.369,452.678,443.959,146.728,111.281,1,1
0,49.188,1772.442,120.428,416.677,1217.172,375.247,1,1
1,36.831,989.767,0.0,127.985,954.394,1031.463,3,1
0,13.661,689.837,0.0,782.057,938.684,969.2,5,1
1,53.957,292.669,1011.228,713.459,1836.631,478.017,2,0
0,45.094,874.652,2022.727,401.488,0.0,426.367,3,1
1,36.149,556.697,1855.322,200.583,0.0,1056.48,6,0
1,24.829,237.033,0.0,538.1,2249.629,0.0,5,0
1,14.568,22.683,1997.044,345.99,26.952,2080.292,1,1
1,22.789,167.404,68.21,764.048,0.0,0.0,4,1
0,43.242,0.0,1170.88,673.754,86.735,1828.18,7,1
1,54.384,356.891,0.0,0.0,458.433,252.555,3,0
0,49.605,0.0,620.376,0.0,0.0,1352.709,8,0
0,21.156,1255.235,826.468,0.0,1777.329,682.032,2,1
0,12.325,232.574,0.0,716.638,0.0,663.336,2,1
0,29.972,0.0,1179.921,0.0,671.419,881.967,5,0
1,3.242,187.578,2065.122,391.064,61.42,1149.507,3,1
0,32.524,0.0,240.422,373.024,0.0,0.0,1,1
0,25.934,527.715,2082.202,821.083,0.0,1386.539,8,1
0,21.475,409.116,222.368,270.99,0.0,0.0,5,1
1,5.674,842.596,1469.501,0.0,1504.239,294.403,6,0
1,35.19,0.0,0.0,0.0,147.708,1177.768,2,1
1,20.542,242.105,3352.533,0.0,0.0,1344.768,8,0
1,11.621,0.0,2244.55,0.0,0.0,783.828,6,0
0,0.0,675.972,108.449,67.575,1625.765,0.0,8,0
0,27.615,557.266,0.0,0.0,1920.621,1241.543,3,0
1,52.812,542.273,795.634,993.571,1613.218,0.0,4,0
0,51.258,221.052,0.0,0.0,851.681,2138.98,8,1
0,21.601,489.602,983.824,923.818,628.813,211.096,8,0
0,19.569,1262.82,943.879,833.691,0.0,0.0,6,1
1,34.563,34.689,0.0,673.049,39.599,0.0,7,1
1,14.023,310.119,1795.16,0.0,0.0,345.826,1,1
0,32.225,0.0,1416.69,361.772,0.0,446.817,7,0
1,38.725,0.0,1620.988,0.0,1472.748,2368.14,2,1
1,45.177,283.579,460.629,680.108,0.0,0.0,7,0
1,26.598,937.557,0.0,128.569,1625.536,341.435,3,1
1,25.149,53.417,1623.447,0.0,1279.921,0.0,8,0
1,15.708,66.654,125.554,0.0,922.39,0.0,4,1
0,16.424,0.0,0.0,0.0,984.172,2068.171,2,1
1,24.829,0.0,2072.447,0.0,0.0,0.0,4,0
0,33.143,411.731,2969.289,793.167,2353.635,916.395,2,0
0,40.79,0.0,400.502,0.0,357.438,712.553,5,0
1,16.755,1052.611,3040.945,75.176,642.125,274.62,7,0
0,48.898,0.0,559.578,537.11,0.0,845.408,5,1
0,24.204,689.237,0.0,1181.175,0.0,0.0,5,1
0,27.701,0.0,0.0,912.003,835.026,2039.139,3,1
1,17.539,654.746,2414.499,0.0,549.265,2321.088,8,0
1,0.0,656.764,0.0,0.0,0.0,349.46,5,1
0,40.377,469.731,1332.323,1491.384,0.0,2844.261,3,1
1,38.316,0.0,0.0,1440.635,0.0,0.0,1,1
1,24.061,382.206,0.0,275.534,1625.747,720.454,5,1
1,28.938,0.0,1686.3,0.0,0.0,1803.484,3,1
1,35.223,55.704,0.0,709.407,0.0,0.0,8,0
0,6.124,889.119,0.0,109.529,1905.374,0.0,2,0
0,20.593,737.856,1809.366,106.731,0.0,0.0,3,0
1,39.12,229.869,2366.877,670.897,0.0,2463.868,6,1
1,10.44,0.0,1223.628,357.25,0.0,0.0,3,1
0,32.11,639.632,0.0,0.0,2089.875,104.976,7,0
0,9.008,232.598,0.0,0.0,2502.722,0.0,6,0
1,34.53,0.0,545.898,540.246,1136.72,1295.756,2,1
0,27.501,728.709,835.116,455.741,1171.723,0.0,8,0
1,5.388,204.249,0.0,316.729,0.0,0.0,7,1
1,44.306,1001.593,1317.646,692.717,2452.061,614.496,3,0
0,17.716,0.0,552.616,0.0,604.466,0.0,7,0
0,16.656,0.0,0.0,270.055,1248.421,112.489,8,0
1,30.808,401.405,0.0,0.0,193.923,1772.32,2,1
1,44.081,409.516,0.0,0.0,15.164,749.667,7,0
0,13.778,0.0,362.571,597.786,2139.346,437.069,6,0
1,28.864,0.0,2717.135,0.0,903.696,525.608,4,0
0,34.003,2010.892,735.806,0.0,1906.513,0.0,5,0
1,37.703,21.353,0.0,0.0,590.861,2395.96,6,1
0,30.47,695.123,714.757,731.885,0.0,0.0,8,0
0,22.862,0.0,27.495,477.139,0.0,521.472,1,1
0,16.414,0.0,839.71,632.232,423.262,420.777,3,0
1,29.206,109.332,1146.681,0.0,0.0,1359.201,7,0
1,12.99,47.357,1901.077,80.148,0.0,1458.333,2,1
0,0.0,0.0,420.856,13.138,1631.559,266.38,5,0
1,34.112,145.483,2416.753,12.88,0.0,605.2,8,0
0,40.655,391.774,1539.627,0.0,462.012,644.961,7,0
0,0.0,122.424,0.0,0.0,635.747,0.0,3,1
1,13.864,0.0,3101.827,645.801,0.0,0.0,5,0
1,36.668,536.02,842.393,0.0,1905.879,0.0,4,0
0,56.805,0.0,0.0,1165.285,0.0,0.0,3,1
1,28.291,0.0,2433.496,440.951,597.788,0.0,7,0
1,17.808,700.467,2943.333,146.294,580.729,1087.062,2,1
0,25.439,549.563,410.37,677.827,250.32,302.224,4,1
0,47.248,182.693,0.0,0.0,0.0,74.571,3,1
1,18.957,0.0,243.15,0.0,1267.899,0.0,5,0
0,16.811,0.0,1307.678,102.198,1127.862,253.228,7,0
0,21.242,49.215,1983.428,934.714,0.0,0.0,4,0
1,14.653,0.0,1134.585,143.962,1088.236,128.896,2,0
0,29.717,0.0,572.068,422.031,722.398,366.343,3,1
0,50.745,644.015,2247.614,0.0,0.0,554.011,5,0
1,32.523,1147.748,74.596,442.632,0.0,0.0,7,1
1,24.467,0.0,1687.103,1109.254,1562.11,536.058,5,0
0,23.915,711.717,104.325,727.495,650.358,0.0,8,0
0,6.115,0.0,967.228,124.385,0.0,0.0,6,0
1,40.364,648.643,313.725,548.275,0.0,1053.828,4,1
1,26.91,0.0,382.977,493.409,0.0,2414.819,7,1
1,25.473,419.775,0.0,453.689,0.0,353.927,3,1
1,72.704,58.961,2063.825,792.694,0.0,0.0,6,0
0,32.183,1078.269,0.0,788.508,0.0,498.104,5,1
1,17.475,0.0,0.0,98.791,1564.015,1285.981,4,1
1,22.031,627.944,2995.192,529.452,1377.697,952.047,1,1
0,44.078,38.32,1623.417,0.0,0.0,3180.269,7,1
1,29.586,117.101,0.0,0.0,459.942,0.0,5,0
0,7.864,100.495,0.0,19.083,0.0,564.843,4,1
1,40.869,0.0,0.0,127.284,22.276,1926.364,1,1
1,18.646,210.836,0.0,0.0,0.0,1860.467,7,1
1,54.226,179.279,0.0,651.786,0.0,0.0,4,1
0,43.121,376.806,285.613,0.0,2513.242,296.474,5,0
0,21.737,274.928,0.0,1690.297,0.0,1858.747,1,1
1,45.934,738.696,521.886,1011.052,0.0,3335.175,8,1
0,28.95,820.281,0.0,23.835,0.0,1038.986,7,0
0,39.939,0.0,549.494,175.279,1458.155,0.0,4,0
0,34.786,784.702,0.0,339.664,0.0,0.0,3,0
0,16.151,0.0,2252.344,0.0,0.0,2629.681,1,1
0,18.99,602.106,2143.628,277.867,1901.505,1065.179,4,0
0,42.419,622.83,1392.415,89.36,578.385,0.0,3,0
1,23.313,0.0,58.063,117.207,521.114,86.686,8,0
1,22.349,280.437,2832.456,271.618,2655.361,625.696,1,0
0,14.628,0.0,0.0,0.0,580.983,870.997,4,1
1,33.93,0.0,0.0,192.159,0.0,0.0,5,0
1,56.875,1098.054,349.46,261.531,0.0,0.0,1,1
1,13.055,0.0,3154.846,242.156,0.0,0.0,1,0
1,28.339,0.0,207.193,49.135,1691.531,1391.75,7,0
0,47.771,269.202,230.106,807.2,942.018,0.0,3,0
1,26.885,665.633,0.0,0.0,1546.856,789.638,6,0
1,34.333,127.928,1585.116,297.303,1644.282,1793.371,7,0
0,13.126,978.141,1593.812,896.487,0.0,530.864,6,1
0,33.996,565.134,1396.89,125.549,0.0,181.381,4,0
1,25.38,0.0,0.0,290.099,253.116,503.618,5,1
1,41.8,0.0,0.0,116.025,0.0,366.353,3,1
1,44.623,0.0,0.0,862.927,491.453,1608.473,1,1
1,64.254,531.585,550.647,25.674,1555.307,626.38,6,0
1,36.115,0.0,0.0,888.679,125.046,0.0,3,1
1,32.561,1876.856,0.0,111.991,474.995,1400.242,3,1
0,30.721,565.167,0.0,0.0,206.77,1592.009,7,1
1,23.056,316.77,0.0,550.449,1193.0,0.0,3,1
1,32.739,988.019,0.0,0.0,0.0,1909.423,1,1
0,23.864,1743.375,1009.734,517.481,0.0,682.947,7,1
0,30.358,785.985,544.857,0.0,827.956,597.433,2,1
0,46.446,836.729,104.213,172.915,1396.618,1356.956,3,1
0,13.908,304.949,669.616,0.0,801.012,0.0,2,0
1,43.958,128.008,0.0,0.0,0.0,1301.873,6,1
1,46.44,0.0,576.334,0.0,0.0,0.0,5,0
1,26.347,0.0,630.723,0.0,853.947,0.0,7,0
1,0.0,0.0,0.0,143.128,465.627,0.0,6,0
1,19.49,0.0,1644.833,0.0,171.628,895.373,7,0
1,46.158,170.684,0.0,347.113,2314.71,0.0,5,0
0,27.68,0.0,558.372,935.08,0.0,1990.58,5,1
1,14.01,344.096,1847.294,327.32,2262.541,1548.748,7,0
0,20.933,196.385,1560.812,623.034,344.962,1700.111,6,1
0,39.769,315.508,491.2,782.955,0.0,431.018,4,1
1,35.654,0.0,15.001,862.434,112.877,570.755,8,1
0,24.655,2219.959,1587.014,1217.278,1365.446,0.0,1,1
1,22.864,1104.075,1259.634,0.0,0.0,1345.573,2,1
0,22.515,0.0,0.0,0.0,0.0,698.825,4,1
1,15.086,371.364,0.0,608.741,129.034,895.671,2,1
0,50.615,0.0,0.0,566.629,0.0,2072.727,7,1
1,23.488,0.0,634.838,604.378,850.996,0.0,1,0
1,45.04,0.0,350.763,1227.998,1160.74,167.551,7,0
1,49.298,500.941,1813.43,176.367,0.0,643.004,3,0
1,41.976,0.0,880.866,408.648,0.0,0.0,7,0
1,21.957,849.087,2051.075,0.0,1142.307,103.021,6,0
0,33.652,865.958,0.0,1365.78,0.0,817.597,4,1
0,27.661,1113.044,1815.78,0.0,0.0,0.0,7,0
0,15.348,0.0,0.0,0.0,0.0,1674.439,1,1
1,32.541,528.988,1383.115,0.0,697.242,0.0,6,0
0,11.493,631.095,0.0,0.0,650.073,1478.91,4,1
1,44.628,0.0,732.162,0.0,0.0,994.245,7,0
1,21.495,0.0,0.0,0.0,315.594,0.0,5,0
0,30.816,1266.188,129.435,0.0,1989.846,0.0,7,0
